id_portal,url,fuente,precio_usd,area_final_m2,dormitorios,banos,cocheras,antiguedad_anios,amenities_count,tipo_propiedad,latitud,longitud,distrito_oficial,h3_index_8,dist_mar_km,dist_centro_km,area_por_dormitorio,mismatch_type,precision_geocoding,cantidad_denuncias,count_1km_supermercados,dist_nearest_m_supermercados,count_1km_farmacias,dist_nearest_m_farmacias,count_1km_colegios,dist_nearest_m_colegios,count_1km_hospitales,dist_nearest_m_hospitales,count_1km_bancos,dist_nearest_m_bancos,count_1km_universidades,dist_nearest_m_universidades,count_1km_parqueos,dist_nearest_m_parqueos,tiene_numero_de_pisos,tiene_ascensores,tiene_cocina,tiene_centros_comerciales_cercanos,tiene_piso_en_el_que_se_encuentra,tiene_seguridad,tiene_exteriores,tiene_reposteros_en_cocina,tiene_closet,tiene_recepcion,tiene_intercomunicador,tiene_cerca_a_colegios,tiene_amueblado_a,tiene_mascotas,tiene_cerca_a_parque_a_menos_de_2_cdras,tiene_tipo_de_cochera,tiene_terraza,tiene_piscina,tiene_av_acceso_asfaltada,tiene_vista_a_la_ciudad,tiene_walk_in_closet,tiene_bano_de_servicio,tiene_cuartos_de_servicio,tiene_numero_de_departamentos,tiene_sistema_contra_incendios,tiene_acabados_de_lujo,tiene_jardines,tiene_en_condominio,tiene_vista_al_mar,tiene_vista_parque,tiene_caseta_de_guardia,tiene_frente_a_parque,tiene_cerco_de_material_noble,tiene_portero_electrico,tiene_av_acceso_afirmada,tiene_duplex,tiene_frente_al_mar_primera_fila,tiene_jacuzzi,cocheras_informadas,es_estudio,estrato_nse,categoria_distrito,cat_dist_emergente,cat_dist_establecido,cat_dist_popular,count_500m_osm_supermercados,count_1km_osm_supermercados,dist_nearest_m_osm_supermercados,count_500m_osm_malls,count_1km_osm_malls,dist_nearest_m_osm_malls,count_500m_osm_universidades,count_1km_osm_universidades,dist_nearest_m_osm_universidades,count_500m_osm_parques,count_1km_osm_parques,dist_nearest_m_osm_parques,count_500m_osm_farmacias,count_1km_osm_farmacias,dist_nearest_m_osm_farmacias,count_500m_osm_bancos,count_1km_osm_bancos,dist_nearest_m_osm_bancos,count_500m_osm_estaciones,count_1km_osm_estaciones,dist_nearest_m_osm_estaciones,n_comisarias_distrito,denuncias_otras_distrito,denuncias_patrimoniales_distrito,denuncias_violentas_distrito,log_precio,_strata,_strata2,distrito_enc,fuente_properati,fuente_urbania,tipo_propiedad_Departamento,mismatch_type_frontera,mismatch_type_ninguno,ratio_area_banos,area_x_amenities,es_zona_premium,antiguedad_sq,total_poi_1km,total_poi_osm_1km
14032-32-414d-4efa2b7e840f-19d64a4-8a84-79d5,https://www.properati.com.pe/detalle/14032-32-414d-4efa2b7e840f-19d64a4-8a84-79d5,properati,800.0,100.0,2.0,1.0,0.0,9.0,0.0,Departamento,-12.099738,-77.02049,San Isidro,888e62c097fffff,2.200415238072912,5.9945261241458745,50.0,ninguno,exacta,18,24.0,52.4,29.0,73.6,26.0,62.3,39.0,19.2,41.0,28.9,11.0,189.7,56.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,establecido,0,1,0,1,3,432.95000162572745,0,0,1151.7778848381995,1,2,478.9757737398712,6,31,234.7648406496851,7,12,295.7113340206214,8,27,158.36478399555102,0,0,2039.6915220065373,2,1664,2775,797,6.68586094706836,establecido_E5,establecido_E5,6.976887327623808,1,0,1,0,1,50.0,0.0,0,81.0,226.0,75
148948272,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-full-amoblado-y-equipado-2-148948272.html,adondevivir,1200.0,104.0,2.0,2.0,0.0,10.0,6.0,Departamento,-12.1278822,-77.0289646,Miraflores,888e62ce5bfffff,0.3644989026318231,9.060548075010471,52.0,ninguno,exacta,34,15.0,149.7,34.0,136.2,33.0,264.4,44.0,136.0,60.0,183.4,23.0,80.5,60.0,154.8,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,establecido,0,1,0,3,7,403.08712568899693,0,8,512.1242115084932,1,2,353.4888431473077,3,27,399.7941399266945,6,21,92.8128906608273,11,24,90.84507483709694,0,0,3120.166641654794,2,3949,6925,1967,7.0909098220799835,establecido_E5,establecido_E5,7.063812272871515,0,0,1,0,1,34.666666666666664,624.0,0,100.0,269.0,89
148163057,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-en-zona-exclusiva-y-residencial-148163057.html,adondevivir,1200.0,151.0,3.0,3.0,2.0,8.0,15.0,Departamento,-12.0973527,-76.9809964,Santiago de Surco,888e62c735fffff,6.471222874461461,7.666862789224833,50.333333333333336,frontera,cuadra,0,3.0,167.9,0.0,489.8,20.0,357.3,4.0,792.6,8.0,325.2,2.0,869.3,13.0,331.1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,4,establecido,0,1,0,0,1,539.482096054175,0,0,1148.747414481564,0,0,1063.975192777965,7,44,161.6846075631501,0,0,1120.1496334308792,0,1,887.7622318586283,0,0,2287.250569215434,3,4435,6185,4777,7.0909098220799835,establecido_E4,establecido_E4,6.771352029707361,0,0,1,1,0,37.75,2265.0,0,64.0,50.0,46
149549579,https://www.adondevivir.com/propiedades/clasificado/alclapin-ocasion!65-m-sup2--1d-1b-full-amoblado-cochera-149549579.html,adondevivir,700.0,70.0,1.0,1.0,1.0,25.0,8.0,Departamento,-12.1189673,-77.0379943,Miraflores,888e62ce59fffff,1.5683262695062778,8.134883651968444,70.0,ninguno,exacta,35,11.0,244.2,42.0,22.8,40.0,265.6,60.0,149.1,57.0,167.9,22.0,145.7,55.0,187.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,5,establecido,0,1,0,2,5,248.69500071278603,1,2,112.68281998563448,0,2,529.584509389045,12,50,47.42552149758149,6,19,138.7429759097321,1,9,255.00168204896056,0,0,4192.696217594567,2,3949,6925,1967,6.55250788703459,establecido_E5,establecido_E5,7.063812272871515,0,0,1,0,1,35.0,560.0,0,625.0,287.0,87
149725730,https://www.adondevivir.com/propiedades/clasificado/alclapin-pueblo-libre-1-dormitorio-1-200-soles-149725730.html,adondevivir,347.83,30.0,1.0,1.0,0.0,10.0,0.0,Departamento,-12.0777148,-77.0565087,Pueblo Libre,888e62c0e7fffff,1.8512839533444168,4.626091527383048,30.0,ninguno,exacta,315,17.0,90.6,60.0,250.9,60.0,94.6,60.0,247.8,46.0,324.8,23.0,480.3,11.0,476.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,emergente,1,0,0,0,2,861.3832883321609,0,7,733.8176116760098,1,6,88.95248773271061,8,50,229.73622581553576,6,28,320.20753561558814,1,14,451.9776237515315,0,0,4947.221755245913,1,908,665,764,5.8545846975105595,emergente_E3,emergente_E3,6.4924380388032,0,0,1,0,1,15.0,0.0,0,100.0,277.0,107
14032-32-a78a-cb73e00c08ec-194c72b-bb68-7ac4,https://www.properati.com.pe/detalle/14032-32-a78a-cb73e00c08ec-194c72b-bb68-7ac4,properati,2200.0,271.0,3.0,3.0,0.0,10.0,0.0,Departamento,-12.128004,-76.9679066,Santiago de Surco,888e62c553fffff,6.6501749825876,11.21348881935078,90.33333333333331,ninguno,exacta,2,4.0,481.9,13.0,502.8,29.0,143.0,4.0,321.0,9.0,238.9,13.0,581.7,10.0,620.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,establecido,0,1,0,0,3,802.728603338296,0,1,828.7349641518044,0,0,1154.3476688593787,5,25,105.33943820213392,0,3,779.7327851307293,0,1,768.1366885663193,0,0,2836.6232456552707,3,4435,6185,4777,7.696667081526462,establecido_E4,establecido_E4,6.771352029707361,1,0,1,0,1,67.75,0.0,0,100.0,82.0,33
149724151,https://www.adondevivir.com/propiedades/clasificado/alclapin-moderno-flat-con-vista-a-parque-interno-149724151.html,adondevivir,2300.0,151.0,2.0,2.0,3.0,8.0,13.0,Departamento,-12.0899805,-77.0501007,San Isidro,888e62c0abfffff,1.9461671395021547,5.385158134154274,75.5,ninguno,exacta,77,21.0,317.5,46.0,211.6,56.0,64.4,58.0,390.8,58.0,198.6,24.0,170.8,40.0,181.8,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,5,establecido,0,1,0,0,1,813.6500558881738,1,1,286.15688852150396,4,11,182.6770650948657,14,39,33.79537476873643,5,15,251.84570427542064,6,15,413.57609595496115,0,0,4565.955451024008,2,1664,2775,797,7.741099090035366,establecido_E5,establecido_E5,6.976887327623808,0,0,1,0,1,50.333333333333336,1963.0,0,64.0,303.0,82
144851253,https://www.adondevivir.com/propiedades/clasificado/alclapin-espectacular-penthouse-con-una-maravillosa-vista-al-144851253.html,adondevivir,4000.0,398.57000000000016,3.0,4.0,2.0,13.0,20.0,Departamento,-12.1337057,-77.028807,Miraflores,888e62c52dfffff,0.327623244933981,9.708008293057366,155.0,ninguno,exacta,25,13.0,483.0,17.0,405.0,42.0,216.5,17.0,295.0,24.0,84.6,12.0,129.7,29.0,129.1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,5,establecido,0,1,0,1,6,377.67466991265314,1,3,251.3505259238138,0,2,741.9707119575078,8,16,117.72982790366495,1,5,143.98248327793547,1,10,270.43829792345326,0,0,3192.9914108407834,2,3949,6925,1967,8.294299608857235,establecido_E5,establecido_E5,7.063812272871515,0,0,1,0,1,79.71400000000003,7971.400000000003,0,169.0,154.0,42
14032-32-c411-dc3694c2aaf2-19baa0f-a163-7519,https://www.properati.com.pe/detalle/14032-32-c411-dc3694c2aaf2-19baa0f-a163-7519,properati,560.0,60.0,2.0,2.0,0.0,8.0,0.0,Departamento,-12.0867995,-77.093792,San Miguel,888e62c18bfffff,1.5278504801512254,8.401557889383794,30.0,ninguno,exacta,1,14.0,156.4,54.0,31.2,48.0,123.3,9.0,512.6,24.0,72.7,6.0,443.0,8.0,115.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,emergente,1,0,0,1,1,363.64984324176606,0,1,968.847480610432,0,0,1153.4518637525043,9,36,270.8817938700779,2,3,287.6535989810809,0,1,989.3818454056196,0,0,9089.557261991642,2,1814,1626,1784,6.329720905522696,emergente_E3,emergente_E3,6.40793525140478,1,0,1,0,1,20.0,0.0,0,64.0,163.0,42
14032-32-f0c6-86d2989efde0-a801de0-b011-4750,https://www.properati.com.pe/detalle/14032-32-f0c6-86d2989efde0-a801de0-b011-4750,properati,790.0,112.0,3.0,2.0,0.0,6.0,0.0,Departamento,-12.05744,-77.0438986,Cercado de Lima,888e62c0c5fffff,4.469450230021805,2.076283504255187,37.333333333333336,frontera,exacta,186,14.0,187.9,60.0,73.6,60.0,14.1,55.0,163.0,60.0,78.1,31.0,248.8,60.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,popular,0,0,1,0,3,609.1892588026209,0,11,555.7830084966415,1,3,387.1797966868333,4,18,177.61202570650983,14,33,296.67809579810483,4,17,95.16415829123312,0,0,3368.8259447065807,0,0,0,0,6.673297967767654,popular_E2,popular_E2,6.43074684211437,1,0,1,1,0,37.333333333333336,0.0,0,36.0,340.0,85
